"","host","virus","presence","suitability"
"1015","Syconycteris australis","Betacoronavirus",0,2.50279359887735e-18
"921","Macrotus californicus","Betacoronavirus",0,2.01580804368672e-18
"1024","Vespadelus pumilus","Betacoronavirus",0,1.38338582488179e-18
"866","Chrotopterus auritus","Betacoronavirus",0,7.36555729970306e-19
"1023","Vespadelus baverstocki","Betacoronavirus",0,7.21305446850229e-19
"1025","Vespadelus regulus","Betacoronavirus",0,7.17833183236762e-19
"918","Lonchorhina aurita","Betacoronavirus",0,5.522153910709e-19
"203","Tylonycteris pachypus","Betacoronavirus",1,2.62329351076493e-19
"919","Lophostoma silvicolum","Betacoronavirus",0,1.32520642151932e-19
"864","Chalinolobus gouldii","Betacoronavirus",0,1.26212943498549e-20
"914","Leptonycteris curasoae","Betacoronavirus",0,2.30362278250884e-21
"865","Chalinolobus morio","Betacoronavirus",0,2.29403562171727e-21
"903","Histiotus velatus","Betacoronavirus",0,1.35517125922875e-21
"1006","Saccolaimus flaviventris","Betacoronavirus",0,1.31187451506955e-21
"915","Leptonycteris nivalis","Betacoronavirus",0,1.28532536625963e-21
"902","Histiotus montanus","Betacoronavirus",0,7.52423366338272e-22
"1007","Saccolaimus saccolaimus","Betacoronavirus",0,4.88853258870349e-22
"1020","Tylonycteris robustula","Betacoronavirus",0,3.42316660916283e-22
"860","Cardioderma cor","Betacoronavirus",0,7.25493642658499e-23
"966","Mystacina tuberculata","Betacoronavirus",0,4.26849228963755e-23
"854","Antrozous pallidus","Betacoronavirus",0,3.20219904592922e-24
"873","Diphylla ecaudata","Betacoronavirus",0,2.51595121793559e-26
"871","Diaemus youngi","Betacoronavirus",0,1.43537235214878e-26
"189","Rhinolophus creaghi","Betacoronavirus",1,3.91007133925403e-28
"997","Rhinolophus coelophyllus","Betacoronavirus",0,1.20374312172425e-29
"987","Pteropus admiralitatum","Betacoronavirus",0,2.84420343978399e-30
